ordinalencoder__V2,ordinalencoder__V3,ordinalencoder__V4,ordinalencoder__V5,ordinalencoder__V7,ordinalencoder__V8,ordinalencoder__V11,remainder__V1,remainder__V6,remainder__V12,remainder__V13,remainder__V14,remainder__V15,target
4,1,2,0,1,0,8,58,2143,261,1,-1,0,1
9,2,1,0,1,0,8,44,29,151,1,-1,0,1
2,1,1,0,1,1,8,33,2,76,1,-1,0,1
1,1,3,0,1,0,8,47,1506,92,1,-1,0,1
11,2,3,0,0,0,8,33,1,198,1,-1,0,1
4,1,2,0,1,0,8,35,231,139,1,-1,0,1
4,2,2,0,1,1,8,28,447,217,1,-1,0,1
2,0,2,1,1,0,8,42,2,380,1,-1,0,1
5,1,0,0,1,0,8,58,121,50,1,-1,0,1
9,2,1,0,1,0,8,43,593,55,1,-1,0,1
0,0,1,0,1,0,8,41,270,222,1,-1,0,1
0,2,1,0,1,0,8,29,390,137,1,-1,0,1
9,1,1,0,1,0,8,53,6,517,1,-1,0,1
9,1,3,0,1,0,8,58,71,71,1,-1,0,1
7,1,1,0,1,0,8,57,162,174,1,-1,0,1
5,1,0,0,1,0,8,51,229,353,1,-1,0,1
0,2,3,0,1,0,8,45,13,98,1,-1,0,1
1,1,0,0,1,0,8,57,52,38,1,-1,0,1
5,1,0,0,1,0,8,60,60,219,1,-1,0,1
7,1,1,0,1,0,8,33,0,54,1,-1,0,1
1,1,1,0,1,1,8,28,723,262,1,-1,0,1
4,1,2,0,1,0,8,56,779,164,1,-1,0,1
1,2,0,0,1,1,8,32,23,160,1,-1,0,1
7,1,1,0,1,0,8,25,50,342,1,-1,0,1
5,1,0,0,1,1,8,40,0,181,1,-1,0,1
0,1,1,0,1,0,8,44,-372,172,1,-1,0,1
4,2,2,0,1,0,8,39,255,296,1,-1,0,1
2,1,1,0,1,1,8,52,113,127,1,-1,0,1
4,2,1,0,1,0,8,46,-246,255,2,-1,0,1
9,2,1,0,1,1,8,36,265,348,1,-1,0,1
9,1,1,0,0,1,8,57,839,225,1,-1,0,1
4,1,2,0,1,0,8,49,378,230,1,-1,0,1
0,1,1,0,1,1,8,60,39,208,1,-1,0,1
1,1,1,0,1,0,8,59,0,226,1,-1,0,1
4,1,2,0,1,0,8,51,10635,336,1,-1,0,1
9,0,1,0,1,0,8,57,63,242,1,-1,0,1
1,1,1,0,1,0,8,25,-7,365,1,-1,0,1
9,1,1,0,0,0,8,53,-3,1666,1,-1,0,1
0,0,1,0,1,0,8,36,506,577,1,-1,0,1
0,2,1,0,1,0,8,37,0,137,1,-1,0,1
7,0,1,0,1,0,8,44,2586,160,1,-1,0,1
4,1,1,0,1,0,8,50,49,180,2,-1,0,1
1,1,3,0,1,0,8,60,104,22,1,-1,0,1
5,1,1,0,1,0,8,54,529,1492,1,-1,0,1
5,1,3,0,1,0,8,58,96,616,1,-1,0,1
0,2,0,0,1,0,8,36,-171,242,1,-1,0,1
6,1,2,0,1,0,8,58,-364,355,1,-1,0,1
9,1,1,0,1,0,8,44,0,225,2,-1,0,1
9,0,1,0,0,0,8,55,0,160,1,-1,0,1
4,2,2,0,1,0,8,29,0,363,1,-1,0,1
1,1,1,0,1,0,8,54,1291,266,1,-1,0,1
4,0,2,0,1,0,8,48,-244,253,1,-1,0,1
4,1,2,0,1,0,8,32,0,179,1,-1,0,1
0,2,1,0,1,0,8,42,-76,787,1,-1,0,1
9,2,1,0,1,1,8,24,-103,145,1,-1,0,1
2,2,2,0,0,1,8,38,243,174,1,-1,0,1
